idx,quechua,real
0,jawa,Afuera. Fuera del sitio en que uno está
1,aspakay,Acción de dar ofrenda a la divinidad con fiesta. Aspecto que presenta el cielo cuando hay nubes tenues y de varios matices. Arrebol color rojo de las nubes heridas por los rayos del sol
2,piqtuy,Mezclar. Desordenar lo que ya estaba en orden
3,muskiykachay,Oliscar. Oler algo con cuidado y persistencia y buscar por el olfato una cosa
4,maray,"Derribar. Echar abajo, tirar al suelo"
5,kikinchay,Identificar. Hacer que dos o más cosas que en realidad son distintas aparezcan y se consideren como una misma
6,janaq,"Alto. Elevado, superior, arriba"
7,ch'uwa,Privación de algo necesario o útil
8,thanta,Trapo. Pedazo de tela desechado por viejo
9,ayllu suti,Apellido. Nombre de familia
10,awqay,"Guerrear, hacer guerra"
11,iñu,Nigua. Insecto parecido a la pulga que se introduce en especial al pie del hombre o en la pata de los animales
12,manchariy,Asustarse
13,miniy,Tramar. Cruzar la rama con la urdimbre para tejer alguna tela
14,yaqch'ikuy,Lavarse ligeramente las manos o los dedos
15,ati,Adversidad. Desventura
16,llat'a kay,Desnudez. Falta de vestido
17,tutayay,Anochecer. Llegar la noche
18,mañaqay,Pedir la mano de la novia
19,ura,"Bajo, -ja. Lo que está en un lugar inferior respecto a otras cosas de la misma clase"
20,pukayachiy,Abochornar. Sonrojar
21,allinchana,Normalización
22,khiwiy,"Envolver. Enovillar, arrollar"
23,thaparaku,Mariposa nocturna de gran tamaño
24,q'atayay,"Enturbiarse, volverse turbio un líquido"
25,puchuy,Sobrar. Haber más de lo necesario
26,khapa,Zancada. Paso largo
27,mamuy,Pasar las manos por la superficie de un montón de cereales u otras cosas arrastrando a un lado lo que no ha de servir
28,q'achu,Hierba verde que se da a los animales herbívoros
29,jamyayay,"Volverse insípido, sin sabor"
30,intichaw,Domingo. Día domingo
31,sika sika,Oruga. Larva vermiforme de mariposa
32,ituray,Retirar la olla del fogón
33,rimaysiq,Intercesor
34,q'iquy,"Hacer flecos, grecas, etc"
35,pallquy,Defraudar. Hacer farsa
36,chaqnay,Cargar. Poner o echar peso sobre una bestia
37,wachu,Hilera
38,juñu,Conjunto. Reunión de personas o cosas que forman un todo
39,sayariy,Dejar la cama en las mañanas
40,ch'irma,"Zozobra. Intranquilidad, desasosiego, inquietud"
41,phutichiy,Atribular
42,ruk'iy,"Tupir. Apretar mucho una cosa, cerrando sus intersticios"
43,llaksay,Fundir metales
44,ch'allay,Rociar. Esparcir en gotas menudas un líquido
45,chaya,"Cocción, cocimiento"
46,maywanakuy,Amarse apasionadamente
47,phiña,"Enojado, -da. Dícese de la persona renegada o colérica"
48,ch'isiyay,Anochecer. Llegar la noche
49,mintuy,Hacer envoltorio
50,jamp'atu,Sapo
51,siklla kay,"Hermosura. Belleza, calidad de hermoso"
52,puka,"Rojo, -ja. De color parecida a la sangre"
53,usqha kay,Rapidez. Velocidad impetuosa
54,ruq'a,Prudente. Que obra y tiene prudencia
55,khuyay,Compasión
56,sanampa,Signo alfabético
57,raymichay,"Festejar. Conmemorar, celebrar algo con fiestas"
58,llust'iy,"Desollar. Despellejar, escoriar"
59,paqar,Madrugada. Alba
60,ch'aqchu,"Rociadura, salpicadura"
61,k'aspiyay,"Adelgazarse, enflaquecer"
62,muskiy,Oler. Percibir los olores
63,k'acha,"Gustoso, agradable"
64,wakiñiqpi,Algunas veces
65,sayt'uchay,"Alargar. Estirar, hacer más largo"
66,pata pata,"Superficial, ligero"
67,manti,"Suave al gusto, delicioso. / Carne tierna, carne deliciosa.: Manti aycha"
68,qhari wawa,Hijo de la mujer
69,chulluy,Remojarse
70,mich'akuy,Escatimar. Dar con mezquindad
71,ayma,"Procesión; acto de ir ordenadamente de un lugar a otro con algún fin público, cívico o religioso"
72,quncha,"Sobrino de varón, hijo o hija de la hermana"
73,suysuna,"Cernidor. Cedazo, criba"
74,paqpa,"Cana, cabello blanco"
75,chhira,"Azadón. chhiri (<A). K'upa, k'uspa, chhurku. adj. Crespo, -pa. Rizado, ensortijado de cabellos"
76,machu pikchu,"La gran ciudadela pétrea que fue quizá uno de los más grandes monumentos religiosos del incanato, entre el valle del Cusco y la selva virgen (JAL)"
77,qullqi,"Plata. Metal precioso, blanco, brillante y sonoro"
78,majichiy,"Aburrir. Hastiar, cansar, molestar, fastidiar"
79,yachaqay,"Aprender, adquirir el conocimiento de una cosa"
80,sunqunnay,Descorazonar. Arrancar el corazón
81,wacha,Parto. Acto de parir
82,kiska,Espina. Púa vegetal
83,pampa runa,"Hombre común, persona común"
84,kikinchay,Igualar. Poner al igual
85,muthuchay,Embotar. Quitar filo
86,pacha,"Universo, cosmos, mundo"
87,t'aqmay,"Desbaratar. De hacer, desquiciar"
88,sut'ichay,Explicar. Aclarar las causas
89,rumi sunqu,Empedernido. Insensible. Que no siente las cosas que causan dolor o mueven a lástima
90,mankuy,"Trozar, cortar madera en pedazos"
91,kay,"Ser, existir"
92,yukra,Camarón. Crustáceo marino comestible
93,wiñay,Crecer. Tomar aumento sensible los cuerpos naturales
94,imanay,Hacer o suceder alguna cosa
95,chichi,Carne
96,jatunpuquy killa,Febrero. Ver mes
97,khachi,Dícese del alimento mezclado con tierra
98,khuchichay,Hacer inmunda o sucia una cosa
99,thantay,"Usar. Utilizar, envejecer alguna cosa"
100,chhapuy,"Amasar, mezclar harina u otra materia semejante con agua u otro líquido"
101,sinqa jutk'u,Cavidad nasal
102,sillk'u,Kilómetro. Medida de longitud que tiene 1.000 metros. sillp'a. Plano y delgado
103,wank'a,"Roca, peñasco"
104,ninayaq,"Incandescente, que se pone candente"
105,anchachay,Encarecer. Ponderar. Exagerar
106,jayay,Amargar. Tener sabor amargo
107,papa,Papa (<Q)
108,q'atachay,"Enturbiar, poner turbio o hacer borroso un líquido. q'atawi (<A). Iksu. s. Cal. Sustancia cáustica blanca"
109,jawanchaq,El o la que quebranta la fidelidad conyugal
110,phutirayay,"Hallarse melancólico. phutirayay. s Melancolía, tristeza acompañada de nostalgia"
111,t'itu kay,Previsión. Acción de prever
112,khiki,"Acaro de la sarna. Arador, arácnido que produce la sarna"
113,usthuy,Acurrucarse. Encogerse para resguardarse del frío o con otro objeto
114,akchiyay,Estornudar
115,pakakuy,Esconderse
116,yalli,Victoria. Triunfo sobre el adversario
117,adj y s,"Xilófago, -ga. Dícese de los insectos que roen la madera. k'ullu sunqu. Insensible, que no siente las cosas que causan lástima"
118,yawarchay,Ensangrentar. Manchar con sangre
119,jaqayman,A aquel lugar
120,p'iqtay,Tirar flechas con el arco
121,llat'a,"Desnudo, -da. Sin vestido, pelado. llat'akuy. r. y prnl. Desnudarse, quitarse la ropa"
122,saqra,"Maligno, -na. De índole perniciosa"
123,khusmu,Octava parte de un entero. Un octavo
124,achikuy,"Predecir, vaticinar"
125,qharatisi,Libélula
126,wichariy,"Subir. Ascender, pasar a lugar más alto"
127,ap'a,Colchón. Cojín grande rellenado de lana o pluma
128,jaway,"Nieto, nieta"
129,runay kachay,Alardear. Hacer alarde
130,qasi,Desocupado
131,mullapa,Nudo muy complicado; nudo o amarro que se ha enredado; racimo compacto de flores o frutos
132,chuqay,"Arrojar, botar"
133,munaqi,"Amante. Enamorado, persona apasionada por otra"
134,ch'iraw mit'a,Verano. Estación calurosa que comprende entre primavera y otoño
135,ch'usuy,Desinflarse. Salir el aire de algo inflado
136,wayna kay,Juventud. Mocedad del varón
137,ch'akisqa,"Sediento, -ta. Que tiene sed"
138,junyay,Empezar a oler mal una cosa
139,juypay,Usar o manejar la plomada
140,warannaq,Dícese de la persona que no usa pantalones
141,k'akmay,Asfixiar
142,pampa,"Plano, -na. Llano"
143,thaskichiq,Método
144,mach'ay,Hornacina. Hueco a modo de nicho en la pared
145,llimphiq,"Pintor, -ra. Persona que pinta"
146,qipa,Trompeta de caracol
147,sutiq,Loco (JL)
148,saqina,Herencia. Derecho de heredar
149,t'uqya,Explosión. Acto de estallar
150,usapu,Acaudalado
151,juch'uy simi,Frase
152,muyupayay,Rondar. Andar de noche vigilando o inspeccionando alrededor de algo
153,mast'aray,"Declarar, confesar, explicar lo dudoso"
154,chharpa,"Chambón, de escasa habilidad"
155,q'apiy,"Estrujar. Apretar para extraer el jugo con las manos o con otro instrumento adecuado. q'apñusqa, t'añusqa, ñat'usqa. p.p. Abollado, aplastado"
156,ararankha,Lagartija. Reptil de pequeño tamaño de la familia lacértidos
157,mikhuy,Comer. Ingerir alimentos. Mikhuy
158,mañapakuq,"Pedigüeño, -ña. Que pide con frecuencia"
159,alliyay,Recobrar el enfermo la salud
160,ch'api,Nombre asignado a perritos lanudos
161,churi qutu,El que tiene muchos hijos varones
162,mich'a,"Tacaño, -ña. Miserable, mezquino"
163,chhuru,Pico. Materia córnea que forma la boca de las aves
164,ayj!,¡Qué fastidio!
165,qhipa,"Último, -ma. Que está en el lugar postrero"
166,ch'aña,Glándula de secreción
167,yuyarirquy,Recordar impensadamente una cosa. Recordar con facilidad lo amortiguado por el olvido
168,much'u,Cogote. Parte posterior del cuello
169,pukllay,Carnaval. Pukllay raymi: Fiesta del Carnaval
170,wayllusqa,"Ñaño, -ña. Mimado"
171,mallku paka,Aguilucho. Cría del águila
172,kallpasapa,"Vigoroso, -sa. Que tiene fuerza o vigor"
173,waqcha kay,Orfandad. Estado de huérfano
174,murkhuchiy,Corroer. Desgastar lentamente una cosa como royéndola
175,waqllichiy,"Desviar. Malograr, disuadir o hacer cambiar moral o materialmente"
176,tara paka,Águila real andina
177,llachiy,"Ilusionar, hacer que uno se forje ilusiones"
178,iriri,Vaso. Recipiente cilindrica para beber
179,ithapallu,Ortiga
180,t'ikwa,"Torrente, corriente impetuosa de agua"
181,rawi,"Desordenado, -da"
182,thawtiy,Babear. Echar baba
183,tilla,"Salvaje, arisco"
184,wananchay,Venganza
185,chuchuqay,Preparar con maíz hervido conserva reseca (JAL). chuchuy. Ñuñuy
186,jak'usapa,"Harinoso, -sa. Que tiene mucha harina"
187,chhaku,"Manotada, manotazo que obliga a soltar lo que se tiene en la mano"
188,taki,Canto. Arte de cantar
189,q'arqa,Andrajoso y sórdido
190,jatun juchayuq,"Malhechor, -ra. Que comete un delito"
191,nak'ana,Res dispuesta para carnear
192,llakllachiy,Estremecer. Hacer temblar
193,llachapay,Remendar
194,uqharichiy,"Sublevar. Alzar en rebelión, sedición o motín"
195,killariy,"Despuntar la luna, acrecentarse más"
196,lapaka,Endeble. / De oreja endeble: Lapaka ninri
197,pukllay,Juego. Acto de jugar
198,wakmanta,"Nuevamente, otra vez"
199,naq'i,"Marchito, mustio, ajado"
200,ch'iklluriy,"Examinar. Tomar prueba, test o examen"
201,umalliy,Imaginar. Formar imágenes en la mente
202,jakllu,"Tartamudo, -da. Que tartamudea"
203,chipa,Armadijo. Trampa para cazar animales
204,añala,Antojo. Deseo vivo y pasajero
205,iñina,"Creíble, que puede o merece ser creído"
206,mit'a,Estación del año
207,k'allpiy,"Desportillar. Romper algún pedazo de tiesto, sacarle algún fragmento a un tiesto, a un objeto de loza o arcilla. k'ama (JL). s. Muela. Cada diente posterior"
208,tapuy,Acto de preguntar
209,waylluy,Amar con ternura y cariño
210,watunka,"Injuria, ofensa"
211,mallichiy,Hacer probar
212,suyru,Parte líquida de la leche que queda después de la coagulación
213,churatay,"Colocar, poner como de paso y a la ligera"
214,k'aka,Grieta que por la acción del frío se forma en la piel
215,sayk'uy,Cansancio. Fatiga
216,achhiy,Estornudo. Acción de arrojar con estrépito el aire por la nariz y la boca
217,sispa,Cerca. Próximo
218,pampa,Piso. Suelo
219,utirayay,"Quedarse rendido, inmovilizado por la fatiga"
220,phawchi,Catarata de un río. Cascada. Salto grande de agua debido a un brusco desnivel en el cauce de un río
221,thasa,"Ventosidad sin ruido, ventosidad muy quedo"
222,wayra chaki,Andarín. Andariego
223,khamupakuq,"Rumiante, que rumia"
224,luylu,"Amable, afectuoso. sonido líquido y palatal ocurre invariablemente al principio de una sílaba o palabra y cuando aparece al final de una sílaba o palabra su sonido puede variar de acuerdo a los dialectos en el idioma quechua convirtiéndose en algunos lugares en sonido líquido alveolar y en otros líquido palatal, ejemplo: Qillqay. Escribir y se puede leer como [qilqay] o /qillqay/"
225,p'aqlayay,Encalvecer. Perder el pelo
226,manchachi,Espantapájaros. Espantajo para ahuyentar pájaros
227,churana,Alacena. Armario hecho en la pared
228,chhalay,Baratear. Dar una cosa por menos de su precio
229,qulla runa,Colla. Dícese del individuo que habita en las mesetas andinas
230,chunku,"Corrillo, reunión de personas que forman grupo aparte"
231,chinkay,Desaparecer. Ocultarse o perderse repentinamente
232,warmi masi,Mujer respecto de otra
233,yanayay,"Negrecer, ponerse negro. Tomar color negro"
234,khastuy,Rumiar. Masticar nuevamente el alimento que ya estuvo en el estómago
235,chunka tawayuq,Catorce. Diez más cuatro
236,yawarpura,Estar pura sangre
237,ch'iti,Buche. Bolsa membranosa de las aves para recibir la comida
238,last'ay,"Laminar, hacer láminas"
239,ch'aka kay,"Ronquera, afonía"
240,chhuyu,"Fresco, -ca. Reciente, acabado de hacer, coger, etc. / Carne fresca: Chhuyu aycha. chhuyuchay, chhuyuchiy. Chiriyarichiy. tr. Refrescar. Moderar el calor. palatal"
241,mismiy,Contaminarse
242,takya,"Firme. Seguro, fijo, afianzado"
243,jiwiqay,Mermar. Disminuir una cosa
244,musuqyay,Renovarse
245,chaninchana,Escala
246,ch'unchu,Bárbaro
247,tuta,Noche. De la puesta a la salida del sol
248,quntuchiy,Perfumar. Dar un buen olor
249,ñuñuq,Lactante. Que mama o que se halla en el período de lactancia
250,llujusapa,"Baboso, -sa. Que echa babas"
251,qullipayay,"Importunar, fastidiar o incomodar con importunidades"
252,mukmu,"Pimpollo. Vastago, renuevo"
253,pana,Hermana del hombre
254,suntu,Montón. Conjunto de cosas puestas desordenadamente unas sobre otras
255,kallki rumi,Piedra para empedrar
256,p'ukchiy,"Pleamar, plenamar. Fin de la creciente del mar"
257,uyni,Acuerdo. Resolución tomada por varias personas
258,qunta,"Magnesia. Óxido de magnesio de color blanco, suave e insípido, usado en medicina"
259,ch'aqway,Discutir
260,amawta,"Sabio, -bia. Que posee sabiduría"
261,uywaq,Criador
262,jamk'a k'analla,Olla especial para tostar maíz u otros cereales
263,ch'asaka,"Enmarañado, enredado, despeinado"
264,maku,Guanaco macho
265,yaqulla,Manto con que las mujeres se cubren los hombros y la espalda
266,kallpayuq,"Fuerte, vigoroso"
267,rakhu qhaparina,Sonido bajo o grueso
268,ch'aki pacha,Sequía. Tiempo seco de larga duración
269,muruy,Descabezar. Quitar la cabeza
270,sami,"Dicha, ventura"
271,phampa,Cóncavo y poco profundo. phanchasqa. p.p. Aflorado
272,khatatichiy,Estremecer. Hacer temblar
273,t'uqyay,"Reventar detonando, estallar"
274,p'utuy,Brotar. Nacer o salir la planta de la tierra
275,allqay,Fallar. Frustrarse
276,p'itita,Alcoba. Aposento para dormir
277,janllariy,Bostezar. Inspirar abriendo la boca
278,kamay,"Crear. Inventar, producir de la nada"
279,jaypay,Adquirir. Conseguir u obtener una cosa
280,jarawi,Canto romántico y sentimental
281,khapa,Paso. Espacio entre el pie adelantado y el que queda atrás
282,pichqa,Cinco
283,puquy,Maduración. Acción de madurar
284,machay,Farrear. Hacer farra
285,q'inaqay,Descorazonar. Causar desengaño
286,lliwkyay,"Aclarar, limpiarse de nubes el cielo"
287,pallay,Allegar. Recoger
288,yaqch'iy,Lavar las manos o dedos después de tocar algo
289,wichariq,Ascendiente
290,ninachiy,"Prender fuego, hacer prender fuego"
291,chiqa,"Verdadero, -ra. Conforme a la verdad o a la realidad"
292,inti chillay,"Estrella lucero. inti chinkay. Kunti. s. Oeste. Occidente, poniente. inti lluqsiy. Anti. s. Oriente. Punto cardinal del horizonte, por donde sale el sol"
293,pisichay,"Acortar. Disminuir la longitud, duración, etc. de alguna cosa"
294,charasaqa,Triángulo
295,akllapay,"Seleccionar, escoger"
296,qhunay,Moler con el mortero rústico hasta reducir a harina
297,kallchay,Formar gavillas erguidas
298,ñut'u jallp'a,Polvo. Tierra que levanta el aire
299,khusmu,"Rastrojo. Resto que cañas de la mies, que queda en la tierra después de la siega"
300,ullphukuy,"Abatirse, angustiarse"
301,t'aqana,Fracción
302,amiy,"Empalagar, hastiar"
303,ch'ika,"Picotazo, golpe que dan las aves con el pico"
304,kusi,"Alegría. Júbilo, contento"
305,chakasqa,"Atravesado, atrancado el paso"
306,samay,"Holgar. Descansar, tomar aliento después de una fatiga"
307,kuru kuru,Regalar cosas menudas arrojándolas al público
308,t'ikachay,Adornar con banderines o flores
309,jusk'una,"Lezna, instrumento que usan los zapateros y talabarteros para agujerear"
310,chapapa,Choza pequeña construida con las ramas del árbol (JL)
311,qatiykachay,Perseguir. Seguir al que huye por todas partes
312,ruqya,Ruido. Sonido inarticulado y confuso
313,chaninchay,"Premiar. Remunerar, dar premio"
314,rimapuy,Interceder. Mediar en favor de alguien
315,lluwiy,Descuajar la planta que no está arraigada
316,napaykachay,Saludar reiteradamente y con afectación
317,janch'ulla,"Bagatela. Insignificancia, cosa de poco valor"
318,rastay,Arrojar con violencia
319,khallwa,Golondrina. Pájaro insectívoro migratorio
320,miyu k'allampa,Hongo venenoso
321,khuyaq,"Piadoso, -sa. Que tiene piedad"
322,k'ita,Dícese de las plantas silvestres y de los animales que no son domésticos
323,titi,"Plomo. Metal pesado, de color gris ligeramente azulado"
324,asnay,"Heder, despedir mal olor"
325,k'umu,"Encorvado, -da. Inclinado"
326,qhisqa,"Pedernal. Cuarzo que da lumbre, herido por el eslabón"
327,tinya,Tamboril
328,muyurina,"Recodo, vuelta"
329,khiskilli,Cosquillas
330,jarwi,Cualquier grano o cereal ligeramente tostado
331,simi,Boca. Cavidad por donde se toma el alimento
332,chamapayay,"Regocijo o satisfacción hiriente, contento maligno del mal ajeno"
333,wañuy p'itiy,Agonizar. Estar en la agonía
334,maqllu,Riesgo. Proximidad de un daño. maqllu. Ch'iki. s. Peligro. Riesgo inminente
335,llawiy,Blandir. Mover un arma u otra cosa con movimiento vibratorio
336,wach'uy,Adulterar. Cometer adulterio
337,rak'isqa,Cociente. Divididor
338,qapachay,"Divertir. Entretener, recrear"
339,mayu qaylla,Orilla del río
340,maq'as,Cierto cantarillo de cuello muy angosto
341,asina,Chiste. Dicho agudo y gracioso
342,llamkha,Tacto. Sentido con que percibimos las cosas al tocarlas
343,susunkachiy,Adormecer. Hacer entorpecer o causar sueño
344,qhaway,Cuidar observando con la vista
345,pukpuka,Codorniz. Ave gallinácea semejante a la perdiz
346,ch'akyay,"Despejarse. Hacerse claro, diáfano. Adquirir pureza y diafanidad muy grande"
347,pullqay,"Esquivar. Evitar, rehuir"
348,ranqhay,Vender. Expender. Traspasar la propiedad de una cosa por algún precio
349,yukana,"Ñagaza. Añagaza, señuelo para cazar aves"
350,sut'inchay,Caracterizar
351,qhipapi kaq,"Zaguero, -ra. Que va, se queda o está atrás. qhiparichiy"
352,atipaq,"Vencedor, ganador"
353,jayñinqa,"Respetable, prestigioso, reputado"
354,ñuqch'a,Respecto del suegro. Nuera
355,k'ullpi,Astilla. Fragmento producido por rotura
356,pampayachiy,Nivelar. Poner plano o parejo
357,challwa,Pez. Animal acuático vertebrado
358,jasachaq,"Aliviador, que alivia"
359,t'isku,"Saltamontes. Insecto de patas posteriores muy desarrolladas y que da grandes saltos. t'isnuy. Sinriy. tr. Ensartar. Pasar por un hilo cuentas, perlas, llaves, etc"
360,q'uchurichiy,"Divertir, dar alegría y gozo"
361,qulla,"Eminencia. Excelencia o sublimidad del ingenio, virtud u otra dote del alma"
362,t'una,"Menudo, -da. Pequeño, chico"
363,yupaychay,Venerar. Tributar sumo respeto; honrar
364,jayratay,Castigar. Imponer algún castigo
365,sinri,Fila
366,llachapa,Harapo. Andrajo
367,ñañiq,"Sosegado, tranquilo, pacífico"
368,chaskichiy,"Depositar para su preservación, asegurar, hacer agarrar"
369,t'ukuy,Sufrir síncope
370,achuray,Repartir. Distribuir algo entre varios
371,llaqa,"Magro, sin gordura, flaco"
372,ruphay,Quemar o calentar mucho una cosa
373,t'illu,"Pellizco (JL). t'illuy. T'ipsiy, Hipch'iy, t'ipiy. tr. Pellizcar. Asir con las uñas"
374,ch'amaka,Trabajador esforzado y decidido
375,qhipa tata,Padrastro. Ver qhipa yaya
376,qullana,Venerable. Digno de veneración
377,juñichiq,Persona que persuade y consigue el consentimiento de otras
378,p'uktu kay,Concavidad. El hueco que forma cualquier superficie
379,yarwilla,Aguja
380,qayllay,Acercarse. qayman (JL). s. Yacaré (<guaraní). Caimán
381,tata,Tratamiento que se da a cualquier hombre
382,qhatay,"Abrigar. Defender, resguardar del frío. Qatay"
383,takarpu,Clavo
384,p'ana,Porrazo. Golpe dado con la porra
385,jusk'ay,"Diseminar, echar la semilla en el surco"
386,llakllay,Acobardarse
387,thalay,"Sacudir. Agitar con violencia una cosa. thalaykachay, thalay. Chhachay, chhaqriy. tr. Zamarrear. Sacudir, zarandear a un lado y a otro"
388,saynata,"Máscara. Antifaz, careta. saynatasqa. p.p. Enmascarado"
389,k'illiy,"Ribetear, poner ribetes"
390,p'ulltikuy,Sumergirse
391,tapkay,Detener sorprendiendo en flagrante
392,achallqu,Cabello o pelo que se encuentra en la mazorca de maíz
393,qallu ñawpa,Región predorsal de la lengua
394,phaskiy,Orearse
395,ma!,"¡A ver!, ¡pues!, ¡veamos! Ma yuparipuway: Pues cuéntamelo. Ma kay aqhata llamiriy: Prueba pues esta chicha. ma. Apócope de Mana"
396,t'ikayuq,"Florido, -da. Que tiene flores"
397,qhapaq suyu,Reino. Territorio o Estado regido o gobernado por un ser superior
398,walthana,"Pañales. walthay, p'intuy, k'iruy (<A). tr. Envolver en los pañales al niño"
399,ullphu,"Angustiado, abatido"
400,ulluku,"Papalisa, olluco, melloco"
401,mak'unkura,Baya de la planta de papa
402,yupasqa,Contado
403,waqlliy,"Deteriorar. Echar a perder, ajar"
404,k'askachiy,Acercar. Poner cerca o a menor distancia
405,ch'uskullikuy,"Enfurecerse. Encolerizarse, irritarse"
406,pusay,"Guiar. Dirigir, encaminar a uno"
407,yuyaysapa,"Inteligente. Sabio, perito"
408,qhuru,"Chamorro, -rra. Cabeza trasquilada"
409,iñiq,Creyente. Que cree. Que tiene fe
410,misk'ichay,Endulzar. Hacer dulce algo
411,qillpu,"Dicha, ventura"
412,mast'aray,"Extender, deshacer lo tendido"
413,llawar,Sangre. Líquido que circula por las arterias y venas
414,kuraq mama umu,Abadesa. Superiora en ciertas comunidades religiosas
415,asna asna,"Hediondo, -da. Que despide olor nauseabundo"
416,chayaqiyuq,Persona que tiene derecho u opción
417,muskiykachay,Olfatear. Oler con ahínco
418,warak'ay,"Hondear, disparar la honda"
419,ch'ari,Sangre secado
420,uturunku,Tigre. Mamífero felino muy feroz
421,tukuy,"Todo, -da. Dícese de lo que se considera íntegramente, sin excluir ninguna de sus partes"
422,llamp'uyachiy,Amansar. Domesticar
423,sinchirquy,Empeorar. Poner o volver peor
424,wiqruchay,"Torcer, combar, encorvar"
425,sut'inchay,Aclarar. Quitar lo que ofusca la claridad de alguna cosa
426,muruna,La rebusca entre la paja después de la trilla
427,kuraq,Mayor. / Hijo mayor: Kuraq wawa
428,allay,Cavar
429,jaq'arwa,Lagartija. Reptil de pequeño tamaño de la familia lacértidos
430,thupa,Raspadura. Acción y efecto de raspar
431,manchay,Temer. Sentir temor de alguien o algo
432,k'irkupakuy,"Encapricharse, obstinarse, ponerse inflexible"
433,wallqanqa,"Rodela, adarga. wallqarikuy. r. y prnl. Ponerse collar o cadena"
434,chinkay,"Perderse, extraviarse"
435,nanaq,Muy
436,juch'uychana,Reducción
437,uyarikuy,Escucha. Acción de escuchar
438,kamachiy,"Decretar. Dictar decretos, ordenar"
439,wallu,"Desorejado, -da. Que tiene la oreja amputada"
440,qurikuq,"Dadivoso, -sa. Generoso"
441,uma,"Cumbre. Cima, cúspide, pináculo"
442,yapu,Acto y efecto de arar (Cusco)
443,t'ampayay,Desgreñarse. Desordenarse los cabellos
444,unquy,Enfermedad
445,khiskay,"Espinar, punzar, herir con espina"
446,waq'a,"Atolondrado, poco juicioso"
447,urina,Venado selvático
448,ñit'iy,"Apiñar. Comprimir, agrupar apretadamente"
449,muya,"Jardín. Terreno donde se cultivan plantas, en especial ornamentales"
450,pitka,"Andas, angarillas, litera, parihuela"
451,wayk'uq,"Cocinero, -ra"
452,muk'ay,Rodear de hoyos las plantas para que retengan más agua
453,pipuchay,Compactar. Hacer compacta una cosa
454,ujujuy!,Con que se expresa desapego e ironía. ujuy. Ch'ujuy (<A). intr. Toser. Padecer la tos
455,ch'ipay,"Embrollar. Enredar, confundir las cosas"
456,pharayachiy,Resecar. Secar mucho
457,misay,Apostar. Hacer una apuesta
458,payqu,Planta de la familia de las quenopodiáceas. Se emplea en medicina casera para el dolor de estómago
459,qhusqu,"Seboso, -sa. Untado con grasa"
460,qhachiy,Remover con un palillo un cereal para que se tueste
461,ch'uklla,"Choza. Bohío, chabola, cabana. ch'uktay"
462,kayapi,Camilla. Parihuela
463,kutana,"Mortero. Utensilio para moler, moledora"
464,millaychay,Afear. Hacer o poner fea a una persona o cosa
465,siminchay,Insinuar. Dar a entender una cosa indicándola ligeramente
466,khachayay,Endurecerse la mugre
467,mallki,"Planta. Ser orgánico que nace, crece, se reproduce y muere, pero que no es capaz de desplazarse de un lado a otro"
468,chharpuchay,Oscurecer y hacer sombra
469,tukuynin,"Global. tulumpi. Ninri quri. s. Zarcillo. Pendiente, arete"
470,taripuy,Hallar lo que mucho se buscó. Taripuy
471,qhipanchay,"Aplazar. Suspender, retardar"
472,wamariy,Inventar. Crear algo nuevo
473,tumiy,Cortar con cuchillo
474,chhanaku,"Acto sexual inmoral, coito ilícito propio de gente prostituta"
475,llunk'ina,Instrumento para bruñir
476,tuytuy,Nadar. Mantenerse sobre un líquido e ir por él sin tocar el fondo
477,sirpay,Traicionar. Hacer traición
478,aqalli,Intestino
479,sikñiy,Dejar caer una partecita de un haz de paja (JL)
480,warmi,Mujer. Persona de sexo femenino
481,alli,"Bueno, sano"
482,rantiy,Reemplazar. Poner en lugar de otro
483,p'isqu chaki,Zanca. Pata de las aves
484,sisa,Flor de frutales y de cereales
485,tuta kay,Oscuridad. Falta de luz y claridad para percibir las cosas
486,mañay,"Pedir. Rogar, solicitar"
487,waywa,Merma. Acción de mermar
488,manta,Alfombra. Tapiz para cubrir el piso
489,pillcha,"Carda, Cabeza de cardencha"
490,t'uku,Síncope. Paralización súbita del corazón
491,awki,Príncipe. Hijo de un ser superior o de un rey
492,siray,Coser. Unir mediante puntadas
493,qhuya runa,Minero. Persona que trabaja en minas
494,talliy,Echar líquido de un depósito a otro
495,k'aklla y,Desgajar. Separar la rama del tronco de donde nace. Partir el tronco con la azuela
496,wankar,Bombo. Tambor grande que se toca con una maza y se emplea en orquestas y bandas
497,jutk'uy,"Perforar. Horadar, agujerear"
498,atikllay,Advertir
499,sumaq,"Exquisito, -ta. De singular y extraordinaria calidad, belleza, gusto, sabor, etc"
